"failure_id","original_claim","tool_or_script","actual_fault","negative_or_discriminating_check","overturned_conclusion","corrected_conclusion","affected_sections","evidence_artifact","status"
"I-29","""跑一遍判据回归看看它认不认新行"" ⇒ 顺手把真实证据件覆盖成合成内容","python judge_branch.py <合成流>（不设 JUDGE_OUT，本夜两次）","judge_branch.py 的默认输出路径就是 evidence/C39_branch_run_verdict.txt：未设变量时任何手工运行都会直接写证据件，而且它照样打印""syntax/shape OK""，看不出证据被换过","改后回归只写 tmp_judge_adhoc.txt；用 git status 断言 artifacts/evidence/* 未被碰；恢复能力本身由""改前刚提交过""保证（git checkout -- 一次拿回 BR6 版）","一度把 C39 内容换成""CONTINUE BRANCH (1)""的合成判定——那是测试数据，不是任何一臂的结果","未设变量的默认值不得指向证据目录；会写文件的仪器，回归先在临时输出上跑；写完立刻用 git status 复核证据目录","P3 3.2 行 28","<HOST_PATH>\EPT git af068db（C39 的 BR6 版）；恢复动作 git checkout -- artifacts/evidence/C39_branch_run_verdict.txt","closed"
"I-30","盘上没有记录 ⇒ 分类 K2 判“采集器从未跑过”","arm20.sh phase 5 的 K2 分支（BR7Q）","同一臂的回包里躺着 BOOT→WINDOWS_READ=7/7→WAIT tick=3：采集器确实跑了。分类表里没有“回包有记录、盘上没记录”这一类，于是它落进了最近的一格","new_files.txt 全卷最新 mtime 10:22:29 早于采集器 BOOT 10:22:39 ⇒ 盘侧停写；回包侧继续 ⇒ 通道/提交停了，不是没跑","“样本模式下采集器没跑起来”这个中间结论（我曾据此说 B1 与投送无关）","任何“记录没落地”必须两通道交叉（回包 ∧ 盘）；单通道 absence 不作证据；BR7S 增加第三条独立通道＝VBox guestproperties（VMMDev→宿主，不碰网络也不碰客户机盘）","P3 3.2 行 29 / P4 4.19(1)","offline_BR7Q/new_files.txt, ship_BR7Q.out","closed"
"I-31","判一段字节是不是 x86 看“前 96 字节解码覆盖率”就够","sq_window_validity.py 第一版的 cov96","该指标无区分力：已知非代码 C13 高熵区 97.9 %、真函数入口 95.8 %——短指令成群时任何字节都能被“覆盖”","换成整窗覆盖率 + odd 操作码计数后正负对照才分开：POSITIVE 99.6 %/odd0，NEGATIVE 21.5 %/odd4、19.1 %/odd7","若只看 cov96，term_callee（95.8 %）会被判成“合法序言成立”，从而把 VMP 密文页封成函数体","指标上岗前必须同次输出正负对照，缺一即报错","P3 3.2 行 30 / P4 4.19(2)","<HOST_PATH>/vmctl/sq_window_validity.py","closed"
"I-32","脚本注释里写中文无所谓","br7.ps1（12 个非 ASCII 字节）、br7s.ps1（30 个）","要经 SSH 通道进客户机的脚本必须纯 ASCII：Windows OpenSSH + 非 UTF-8 代码页会让字节数与解析都变成第二个变量，而这轮所有结论都建立在“唯一变量”上","两个臂脚本的 phase 0 断言（non-ascii==0）都在开机前拒绝执行 ⇒ 失败方向安全：什么都没启动","“注释语言与运行时无关”这个默认假设","规则写死：凡进入客户机的脚本注释一律 ASCII；断言放 phase 0 不放事后","P3 3.2 行 31","arm20.sh / arm21.sh phase 0","closed"
"I-33","脚本里打印了 HOSTS=NOT-pinned，就等于执行了""启动核心前必须钉住校验域名""这条边界","br7s.ps1 第一版（臂 BR7S）","检查与打印不是控制流：读到未钉住之后代码继续走到 Start-Process，样本在没有回环钉住的状态下跑了约 4 分钟。发现后 poweroff + restore，会话日志归档；该会话没开 NetSniffer，guest 的 DNS 又是 NAT 内的 fake-IP 代理，所以暴露面既不能证实也不能排除","护栏修好后在同一脚本里加了正向路径（127.0.0.1 才放行），并在宿主上用两个假值把两条分支都跑过：198.18.1.5 走 ABORT、127.0.0.1 放行；arm21 phase 6 再断言一次""记录里必须出现 RESOLVE_NOW=127.0.0.1""","""我把风险报告出来了""曾被当成""我把风险管住了""；BR7S 第一臂的记录也不得再用作任何分支读数","边界一律写成控制流：不满足 → 不启动 + 记录 + 签名收尾；臂脚本自己执行、臂外再断言；事故原文进 P5§5.8 而不是抹掉","P3 3.2 行 32 / P5 5.8 / P5 5.7 条 15","<HOST_PATH>/vmctl/BR7S_VBox.log, <HOST_PATH>/vmctl/ship_BR7S.out, <HOST_PATH>/vmctl/br7s.ps1","closed"
"I-34","BR7S2/BR7S3 连着两轮零证据 ⇒ ""这轮只是又没投进去""","arm21.sh 三次运行（S1/S2/S3）","同一底座一夜出现第三种失效模式：S3 两次投递都在 kex_exchange_identification 处 Connection reset by peer，VMState 直接变 aborted（12:23:05，与子盘最后一次写入同一秒）；S2/S3 的 NEWFILE_COUNT 都是 0 ⇒ 读路径没证明自己看得见本会话写入，任何""客户机没做 X""都不成立","arm14 phase 6b 的 NEWFILE_COUNT 就是这条的探针：BR7Q 那一臂它是 6（能看到 10:22:2x 的系统写入），S2/S3 是 0；phase 6c 的 Logs PRESENT items=1 因此只作基线复述","""零证据的臂＝再试一次就好""这个默认；以及 phase 6c 那个离线判据的可用性（它依赖同会话写入真的落盘）","三种失效（通道死 / 全卷停写 / 直接 aborted）要各自有独立探针并记在臂日志里；同一问题在三种模式之间不可判定时停臂，而不是继续加臂","P3 3.2 行 33 / P4 4.19(4) / ROADMAP B1","offline_BR7S2/new_files.txt, offline_BR7S3/new_files.txt, log_BR7S3.txt","closed"
"I-35","§4.4 表里的合取站点与""闸门五个全局""是精确地址（0x1407a30b2…、0x141154ced…）","正文从反编译产物抄录；C19/C43/C48/C49/C52 按这些地址取数","整批地址同向低 0x1000：真站点 0x1407a40b2/bb/c4/cd 与 0x1407a454f…，真全局 0x141155ced/cf1/ae7/ce9/d10；0x141154… 那五个在 8.26 MB、100 % 覆盖的 rip 反查里 0 处引用。合取也不在 FUN_1407a3080（该处真字节是 mov edx,0x104），实为 5 簇 / 19 站点 / 2 个 .pdata 条目","站点由 `cmp dword [rip+d],1` 的 next+disp 算术独立算出，再与覆盖式 rip 反查交叉（覆盖率 8,257,536/8,257,536 印进件内）；聚簇按""相邻 ≤ 0x40 B""自动完成，不靠人眼","""3 站点 / 2 函数 / 闸门本体 = a3080 四全局合取""与""main 的两处不是合取""（main 里有三簇）；以及 C48/C49 所量的四个全局对象","凡从伪代码抄进正文的地址，必须用指令算术独立复算一次；成批地址还要加""互相距离""检查——整批同向偏移一个常数不会触发任何存在性/一致性自检","P4 4.4(8) / P4 4.19(5) / ROADMAP R8 / SKILL","artifacts/evidence/C56_gate_conjunction_sites_byte_check.txt, <HOST_PATH>/vmctl/verify_gate_sites.py","closed"
"I-36","C55/C56 坐标口径复核与当前结论修正","C57/C58/C59；内嵌 PE 头、ImageBase、字节签名、覆盖式 RIP 扫描、真实 E8 调用点","stream_text.bin offset 0 是 PE 头，正确映射为 VA=0x140000000+offset；原文 0x141154ced/cf1/ae7/ce9 与 0x1407a30b2 等地址恢复有效；0x141a1ff1b 与 0x1417612fa 各有真实调用点，但被调方本体超出当前捕获范围","C57/C58/C59 全覆盖或逐字节复核；旧件的整体 +0x1000 映射不再作为当前坐标系","C55/C56 的地址不存在与整体平移叙述撤回","旧件保留为 INVALID_INSTRUMENT 历史；分支动作结论不因该仪器故障自动作废，阻断支进程效果仍为 VALID_UNOBSERVABLE_ON_THIS_BASE","P4 4.4(8)/4.19；P5 5.2/5.6；ROADMAP R8；SKILL","C57_stream_address_provenance.txt; C58_gate_sites_corrected.txt; C59_sq_callees_corrected.txt","closed"
"I-37","『_detect_bind_error_dialog 有 0 个 RETURN 站点』（差点写成""检测器不返回值，返回值来自别处""）","<HOST_PATH>/vmctl/verify_decode_branch_cfg.py §7 第一版","计数器名字盲区：Python 3.13 把常量返回编成 RETURN_CONST，而我只匹配 RETURN_VALUE；实测同一函数 RETURN_VALUE=0、RETURN_CONST=3","同函数同数据换两种名字口径并排印出（§7b 行），并加 assert RETURN_CONST 计数 >0 才允许发布任何""0 返回""的说法","""0 个返回站点""这条阴性","该函数有 3 个返回点（True/False/隐式 None），返回值即 bind_error，正是 run_decode off4192 分岔的判据来源","P1 §1.5 更新段 / C60 §7b","artifacts/evidence/C60_shell_decode_branch_cfg.txt, <HOST_PATH>/vmctl/verify_decode_branch_cfg.py","closed"
"I-38","『final_status 出口只有 2 个构造点』（差点把出口字母表发成残缺集）","<HOST_PATH>/vmctl/verify_decode_branch_cfg.py §8 第一版","形态不全是探针缺陷：只按 BUILD_CONST_KEY_MAP 的 keys 元组找，且 BUILD_CONST_KEY_MAP 的 argrepr 装的是配对数不是键名（第一版因此先得空表）；dict 字面量编译成 LOAD_CONST+BUILD_MAP，完全不在匹配范围内","两种编译形态都扫并排印 builder 名与近旁常量；命中数从 2 -> 36 构造点 / 6 个取值；再加 assert len(alpha)>=2 与""0 或偏小先怀疑计数器""的口径","""出口只有 2 处""这一计数","run_decode 一族出口状态为 {failed, card_bound, stopped, completed, no_network, need_manual_download}，36 个构造点全部印进件内","P1 §1.4 表 / C60 §8","artifacts/evidence/C60_shell_decode_branch_cfg.txt","closed"
"I-39","""那一臂已经停了""（用它去解释 scp 失败与 VMState=aborted）","bake22.sh 第 1、2 轮并发（宿主侧后台任务监督模型错）","停止后台任务只终止外层 `bash bake22.sh | tail`，内层脚本存活；两条臂同时 restore/reset 同一台 VM：scp=Connection refused（宿主 2222 open 但 banner exchange 超时 = NAT 链路未起而监听仍在），VMState=aborted。另外第一版残留进程检查用 `grep arm2` 被探测命令自身匹配，虚报""仍有 3 条""","精确命令行匹配（`bake22\.sh|run22\.sh` 且排除探测命令）实测无残留；恢复基线后 VMState=saved、CurrentSnapshotName=qoder-clean-20260920 复核；锁目录 mkdir 失败路径实测拒绝第二次运行","该时段内""通道不可用/客户机没执行""的一切归因","归因改为本机自伤（并发抢机）；通道是否可用要由**单实例、带锁**的一臂重测。护栏：VM 锁为控制流，无锁不碰 VBox","P3 3.2 行 34 / P5 5.7 / RUN_MANIFEST §8","<HOST_PATH>/vmctl/log_BAKE22.txt, <HOST_PATH>/vmctl/bake22.sh, <HOST_PATH>/vmctl/run22.sh","closed"
"I-40","「烘培不成立：offline_BAKEV1/arm22c.ps1 缺失」——差点把一次其实大部分成功的烘培判成整体失败","<HOST_PATH>/vmctl/bake22.sh phase 5 的必需件清单 与 <HOST_PATH>/vmctl/arm14.sh 的取件清单","两份清单不一致：arm14 的复制列表里根本没有 ept_BR22rm22c.ps1 与 bake.ps1，于是校验方要求一个取件方从未承诺要取的文件；同时真正的失败 create_rc=1 被这条假阴性盖住（XML 声明 encoding=""UTF-16"" 却用 ASCII 写盘，schtasks 拒读，而我上一版还把 stderr 丢了）","同一次挂载里 bake_done.txt(798 B)/task.xml(862 B) 都在、NEWFILE_COUNT=85 证明读路径看得见本会话写入；bake_done.txt 内 create_rc=1 与 Tasks\EPTARM22 缺失互相印证，说明失败点是任务注册而不是投送","""离线核验未过 => 投送/挂盘链路不行""这一整句","投送与挂盘都被证明可用；未过的只有任务注册，原因锁定为 XML 声明与实际编码不符 + 失败信息未采集。已改 -Encoding Unicode、把 schtasks 输出写进标记件，并补齐两份清单","P3 3.2 行 36 / RUN_MANIFEST §8","<HOST_PATH>/vmctl/offline_BAKEV1/bake_done.txt(已随重跑清空), <HOST_PATH>/vmctl/arm14.sh, <HOST_PATH>/vmctl/bake.ps1","closed"
